PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
WRIGHT BROTHERS PLAYGROUND,MANHATTAN    ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
MERCER PLAYGROUND,MANHATTAN    ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
SEAN'S PLACE,QUEENS       ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
HARVARD PLAYGROUND,QUEENS       ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
SARSFIELD PLAYGROUND,BROOKLYN     ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
HELL'S KITCHEN PARK,MANHATTAN    ,0.58,0,0,0,0,0,0,0,0,2016,Jul,Sep
BENNINGER PLAYGROUND,QUEENS       ,0.57,0,0,0,0,0,0,0,0,2016,Jul,Sep
RORY STAUNTON FIELD,QUEENS       ,0.57,0,0,0,0,0,0,0,0,2016,Jul,Sep
CARMANSVILLE PLAYGROUND,MANHATTAN    ,0.57,0,0,0,0,0,0,0,0,2016,Jul,Sep
SIXTEEN SYCAMORES PLAYGROUND,BROOKLYN     ,0.57,0,0,0,0,0,0,0,0,2016,Jul,Sep
GALAPO PLAYGROUND,BROOKLYN     ,0.57,0,0,0,0,0,0,0,0,2016,Jul,Sep
MCKINLEY PLAYGROUND,MANHATTAN    ,0.56,0,0,0,0,0,0,0,0,2016,Jul,Sep
ENNIS PLAYGROUND,BROOKLYN     ,0.55,0,0,0,0,0,0,0,0,2016,Jul,Sep
GUTENBERG PLAYGROUND,MANHATTAN    ,0.55,0,0,0,0,0,0,0,0,2016,Jul,Sep
BLAND PLAYGROUND,QUEENS       ,0.55,0,0,1,0,0,2,0,3,2016,Jul,Sep
PFC NORTON PLAYGROUND,BROOKLYN     ,0.55,0,0,0,0,0,0,0,0,2016,Jul,Sep
LITTLE CLAREMONT PARK,BRONX        ,0.55,0,0,0,0,0,0,0,0,2016,Jul,Sep
JUNCTION PLAYGROUND,QUEENS       ,0.54,0,0,0,0,0,0,0,0,2016,Jul,Sep
WOODRUFF PLAYGROUND,BROOKLYN     ,0.54,0,0,0,0,0,0,0,0,2016,Jul,Sep
ABIGAIL PLAYGROUND,BRONX        ,0.53,0,0,0,0,0,0,0,0,2016,Jul,Sep
DR. GERTRUDE B. KELLY PLAYGROUND,MANHATTAN    ,0.53,0,0,0,0,0,2,0,2,2016,Jul,Sep
WALD PLAYGROUND,MANHATTAN    ,0.53,0,0,0,0,0,0,0,0,2016,Jul,Sep
ANDREWS GROVE,QUEENS       ,0.52,0,0,0,0,0,0,0,0,2016,Jul,Sep
LAFAYETTE PLAYGROUND ON LAFAYETTE AVENUE,BROOKLYN     ,0.52,0,0,0,0,0,0,0,0,2016,Jul,Sep
ANIBAL AVILES PLAYGROUND,MANHATTAN    ,0.52,0,0,0,0,0,0,0,0,2016,Jul,Sep
WASHINGTON PARK BRONX,BRONX        ,0.52,0,0,0,0,0,0,0,0,2016,Jul,Sep
PAT WILLIAMS PLAYGROUND,QUEENS       ,0.51,0,0,0,0,0,0,0,0,2016,Jul,Sep
GREENPOINT PLAYGROUND,BROOKLYN     ,0.5,0,0,0,0,0,0,0,0,2016,Jul,Sep
PIERREPONT PLAYGROUND,BROOKLYN     ,0.5,0,0,0,0,0,0,0,0,2016,Jul,Sep
EPIPHANY PLAYGROUND,BROOKLYN     ,0.5,0,0,0,0,0,0,0,0,2016,Jul,Sep
JOHN ADAMS PLAYGROUND,QUEENS       ,0.49,0,0,0,0,0,0,0,0,2016,Jul,Sep
LEVY PLAYGROUND,STATEN ISLAND,0.49,0,0,0,0,0,0,0,0,2016,Jul,Sep
CLEMENT CLARKE MOORE PARK,MANHATTAN    ,0.49,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHARLTON GARDEN,BRONX        ,0.49,0,0,0,0,0,0,0,0,2016,Jul,Sep
THOMAS J. CUITE PARK,BROOKLYN     ,0.49,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHERRY CLINTON PLAYGROUND,MANHATTAN    ,0.48,0,0,0,0,0,0,0,0,2016,Jul,Sep
HILTON WHITE PLAYGROUND,BRONX        ,0.48,0,0,0,0,0,0,0,0,2016,Jul,Sep
MILESTONE PARK,BROOKLYN     ,0.48,0,0,1,0,0,0,0,1,2016,Jul,Sep
TURTLE PLAYGROUND,QUEENS       ,0.48,0,0,0,0,0,0,0,0,2016,Jul,Sep
MATTHEWS - PALMER PLAYGROUND,MANHATTAN    ,0.48,0,0,0,0,0,0,0,0,2016,Jul,Sep
FAIRMOUNT PLAYGROUND,BRONX        ,0.47,0,0,0,0,0,0,0,0,2016,Jul,Sep
MOTHER CABRINI PARK,BROOKLYN     ,0.47,0,0,0,0,0,0,0,0,2016,Jul,Sep
VIRGINIA PLAYGROUND,BRONX        ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
RAINBOW PLAYGROUND,BROOKLYN     ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
TEN EYCK PLAZA,BROOKLYN     ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
TRIBOROUGH BRIDGE PLAYGROUND C,QUEENS       ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
TRIBOROUGH BRIDGE PLAYGROUND D,QUEENS       ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
TRIBOROUGH BRIDGE PLAYGROUND E,QUEENS       ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNDERBRIDGE DOG RUN,QUEENS       ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
WILLIAM MCCRAY PLAYGROUND,MANHATTAN    ,0.46,0,0,0,0,0,0,0,0,2016,Jul,Sep
LOUIS ARMSTRONG COMMUNITY CENTER,QUEENS       ,0.45,0,0,0,0,0,0,0,0,2016,Jul,Sep
ABC PLAYGROUND,MANHATTAN    ,0.45,0,0,0,0,0,0,0,0,2016,Jul,Sep
MIDDLE VILLAGE PLAYGROUND,QUEENS       ,0.45,0,0,0,0,0,0,0,0,2016,Jul,Sep
YAK PLAYGROUND,BROOKLYN     ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
HAVEMEYER PLAYGROUND,BRONX        ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
BUTTERFLY GARDENS,BROOKLYN     ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND ONE,MANHATTAN    ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
GARIBALDI PLAYGROUND,BROOKLYN     ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
MORRIS GARDEN,BRONX        ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
MCCAFFREY PLAYGROUND,MANHATTAN    ,0.44,0,0,0,0,0,0,0,0,2016,Jul,Sep
ADMIRAL TRIANGLE,BROOKLYN     ,0.43,0,0,0,0,0,0,0,0,2016,Jul,Sep
HORSESHOE PLAYGROUND,BRONX        ,0.43,0,0,0,0,0,0,0,0,2016,Jul,Sep
HUNTS POINT RIVERSIDE PARK,BRONX        ,0.43,0,0,0,0,0,0,0,0,2016,Jul,Sep
TOMPKINSVILLE PARK,STATEN ISLAND,0.42,0,0,0,0,0,0,0,0,2016,Jul,Sep
WEST 4TH STREET COURTS,MANHATTAN    ,0.42,0,0,0,0,0,1,0,1,2016,Jul,Sep
MOSHOLU PLAYGROUND,BRONX        ,0.41,0,0,0,0,0,0,0,0,2016,Jul,Sep
LIOTTI IKEFUGI PLAYGROUND,STATEN ISLAND,0.41,0,0,0,0,0,0,0,0,2016,Jul,Sep
JOSEPH C. SAUER PARK,MANHATTAN    ,0.4,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND EIGHTY NINE LXXXIX,MANHATTAN    ,0.4,0,0,0,0,0,0,0,0,2016,Jul,Sep
VAN NEST PARK,BRONX        ,0.4,0,0,0,0,0,0,0,0,2016,Jul,Sep
JOSEPHINE CAMINITI PLAYGROUND,QUEENS       ,0.4,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PARK SOUTH,BROOKLYN     ,0.39,0,0,0,0,0,0,0,0,2016,Jul,Sep
IMAGINATION PLAYGROUND,MANHATTAN    ,0.39,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHELSEA RECREATION CENTER,MANHATTAN    ,0.39,0,0,0,0,0,0,0,0,2016,Jul,Sep
HINES PARK,BRONX        ,0.38,0,0,0,0,0,0,0,0,2016,Jul,Sep
GOBLE PLAYGROUND,BRONX        ,0.38,0,0,0,0,0,0,0,0,2016,Jul,Sep
GRAND PLAYGROUND,BRONX        ,0.38,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PARK NORTH,BROOKLYN     ,0.37,0,0,0,0,0,0,0,0,2016,Jul,Sep
ST. MARY'S PARK PLAYGROUND BROOKLYN,BROOKLYN     ,0.37,0,0,0,0,0,0,0,0,2016,Jul,Sep
MARCY PARK SOUTH,BROOKLYN     ,0.36,0,0,0,0,0,0,0,0,2016,Jul,Sep
BLEECKER PLAYGROUND,MANHATTAN    ,0.36,0,0,0,0,0,0,0,0,2016,Jul,Sep
MCLAUGHLIN PLAYGROUND,QUEENS       ,0.36,0,0,0,0,0,0,0,0,2016,Jul,Sep
HARLEM ART PARK,MANHATTAN    ,0.35,0,0,0,0,0,0,0,0,2016,Jul,Sep
VINCENT F. ALBANO JR. PLAYGROUND,MANHATTAN    ,0.35,0,0,0,0,0,0,0,0,2016,Jul,Sep
JEROME PLAYGROUND SOUTH,BRONX        ,0.35,0,0,0,0,0,0,0,0,2016,Jul,Sep
ST. MARY'S PARK BROOKLYN,BROOKLYN     ,0.35,0,0,0,0,0,0,0,0,2016,Jul,Sep
WALTON PARK,BRONX        ,0.34,0,0,0,0,0,0,0,0,2016,Jul,Sep
REV LENA IRONS UNITY PARK,BRONX        ,0.34,0,0,0,0,0,0,0,0,2016,Jul,Sep
SUTTON PLACE PARK,MANHATTAN    ,0.34,0,0,0,0,0,0,0,0,2016,Jul,Sep
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,BRONX        ,0.33,0,0,0,0,0,0,0,0,2016,Jul,Sep
MACARTHUR PARK,MANHATTAN    ,0.33,0,0,0,0,0,0,0,0,2016,Jul,Sep
SLEDGE PLAYGROUND,BROOKLYN     ,0.33,0,0,0,0,0,0,0,0,2016,Jul,Sep
BERRY PLAYGROUND,BROOKLYN     ,0.33,0,0,0,0,0,0,0,0,2016,Jul,Sep
FREEDOM SQUARE PLAYGROUND,QUEENS       ,0.33,0,0,0,0,0,0,0,0,2016,Jul,Sep
LONG ISLAND MEWS,QUEENS       ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
BLACK ROCK PLAYGROUND,BRONX        ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
HOT SPOT TOT LOT,BROOKLYN     ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PLAYGROUND SOUTH,BROOKLYN     ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
BRIDGE AND TUNNEL PARK,QUEENS       ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
STOP & GO PLAYGROUND,BRONX        ,0.32,0,0,0,0,0,0,0,0,2016,Jul,Sep
MACLAUGHLIN PLAYGROUND,BRONX        ,0.3,0,0,0,0,0,0,0,0,2016,Jul,Sep
HARRY CHAPIN PLAYGROUND,BROOKLYN     ,0.3,0,0,0,0,0,0,0,0,2016,Jul,Sep
ANNADALE GREEN,STATEN ISLAND,0.3,0,0,0,0,0,0,0,0,2016,Jul,Sep
WEEKSVILLE PLAYGROUND,BROOKLYN     ,0.3,0,0,1,0,0,0,0,1,2016,Jul,Sep
DODGER PLAYGROUND,BROOKLYN     ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PLAYGROUND NORTH,BROOKLYN     ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
ELIZABETH STROUD PLAYGROUND,BROOKLYN     ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
HANSBOROUGH RECREATION CENTER,MANHATTAN    ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
A.R.R.O.W. FIELD HOUSE,QUEENS       ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
JENNIE JEROME PLAYGROUND,BRONX        ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND 115,QUEENS       ,0.29,0,0,0,0,0,0,0,0,2016,Jul,Sep
MARINERS HARBOR PLAYGROUND,STATEN ISLAND,0.27,0,0,0,0,0,0,0,0,2016,Jul,Sep
YOUTH VILLAGE,BRONX        ,0.27,0,0,0,0,0,0,0,0,2016,Jul,Sep
BEANSTALK PLAYGROUND,BRONX        ,0.27,0,0,0,0,0,0,0,0,2016,Jul,Sep
DESALVIO PLAYGROUND,MANHATTAN    ,0.27,0,0,0,0,0,0,0,0,2016,Jul,Sep
DAN ROSS PLAYGROUND,BROOKLYN     ,0.26,0,0,0,0,0,0,0,0,2016,Jul,Sep
DREAM STREET PARK,MANHATTAN    ,0.25,0,0,0,0,0,0,0,0,2016,Jul,Sep
SIDNEY HILLMAN PLAYGROUND,MANHATTAN    ,0.25,0,0,0,0,0,0,0,0,2016,Jul,Sep
SUNSHINE PLAYGROUND,MANHATTAN    ,0.24,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PARK CENTER,BROOKLYN     ,0.24,0,0,0,0,0,0,0,0,2016,Jul,Sep
ST. GREGORY'S PLAYGROUND,MANHATTAN    ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
SORRENTINO RECREATION CENTER,QUEENS       ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
UMMA PARK,BROOKLYN     ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
WILLIAM F MOORE PARK,QUEENS       ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
OGDEN PLIMPTON PLAYGROUND,BRONX        ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
MARY O'CONNOR PLAYGROUND,MANHATTAN    ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
GENE GRAY PLAYGROUND,QUEENS       ,0.23,0,0,0,0,0,0,0,0,2016,Jul,Sep
DOWNING STREET PLAYGROUND,MANHATTAN    ,0.22,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND THIRTY FIVE XXXV,QUEENS       ,0.22,0,0,0,0,0,0,0,0,2016,Jul,Sep
ROLF HENRY PLAYGROUND,BROOKLYN     ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
P.S. 125 PLAYGROUND,BROOKLYN     ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
TONY DAPOLITO RECREATION CENTER,MANHATTAN    ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
DAVIDSON PLAYGROUND,BRONX        ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
ASTORIA HEALTH PLAYGROUND,QUEENS       ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHIARANTANO PLAYGROUND,BROOKLYN     ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
MINETTA PLAYGROUND,MANHATTAN    ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
CORONA MAC PARK,QUEENS       ,0.21,0,0,0,0,0,0,0,0,2016,Jul,Sep
THORPE FAMILY PLAYGROUND,BRONX        ,0.2,0,0,0,0,0,0,0,0,2016,Jul,Sep
SUNNERS PLAYGROUND,BROOKLYN     ,0.2,0,0,0,0,0,0,0,0,2016,Jul,Sep
TUDOR GROVE PLAYGROUND,MANHATTAN    ,0.19,0,0,0,0,0,0,0,0,2016,Jul,Sep
RODNEY PLAYGROUND CENTER,BROOKLYN     ,0.19,0,0,0,0,0,0,0,0,2016,Jul,Sep
SEABURY PARK,BRONX        ,0.19,0,0,0,0,0,0,0,0,2016,Jul,Sep
EAE J MITCHELL PARK,BRONX        ,0.18,0,0,0,0,0,0,0,0,2016,Jul,Sep
PENN TRIANGLE,BROOKLYN     ,0.18,0,0,0,0,0,0,0,0,2016,Jul,Sep
METROPOLITAN RECREATION CENTER,BROOKLYN     ,0.18,0,0,0,0,0,0,0,0,2016,Jul,Sep
RAMON APONTE PARK,MANHATTAN    ,0.17,0,0,0,0,0,0,0,0,2016,Jul,Sep
FIELD OF DREAMS PARK,BRONX        ,0.17,0,0,0,0,0,0,0,0,2016,Jul,Sep
BILL BOJANGLES ROBINSON PLAYGROUND,MANHATTAN    ,0.17,0,0,0,0,0,0,0,0,2016,Jul,Sep
RECREATION CENTER 54,MANHATTAN    ,0.17,0,0,0,0,0,0,0,0,2016,Jul,Sep
PEARL ST PLAYGROUND,MANHATTAN    ,0.16,0,0,0,0,0,0,0,0,2016,Jul,Sep
LEWIS PLAYGROUND,BROOKLYN     ,0.16,0,0,0,0,0,0,0,0,2016,Jul,Sep
NORTH PACIFIC PLAYGROUND,BROOKLYN     ,0.16,0,0,0,0,0,0,0,0,2016,Jul,Sep
MORRIS MESA,BRONX        ,0.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
PEACE PARK,BRONX        ,0.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
DUKE PARK,BROOKLYN     ,0.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOBEL PLAYGROUND,BROOKLYN     ,0.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
CAPTAIN JACOB JOSEPH PLAYGROUND,MANHATTAN    ,0.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
GRAND CANAL COURT,MANHATTAN    ,0.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
LT. FEDERICO NARVAEZ TOT LOT,BROOKLYN     ,0.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
WEST 186TH STREET BASKETBALL COURT,MANHATTAN    ,0.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOPHIE IRENE LOEB,MANHATTAN    ,0.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
BARRETTO PARK,BRONX        ,0.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
ABYSSINIAN TOT LOT,MANHATTAN    ,0.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
ALEXANDER'S ALLEY,BRONX        ,0.11,0,0,0,0,0,0,0,0,2016,Jul,Sep
EAST FLATBUSH CHILDREN'S PARK,BROOKLYN     ,0.11,0,0,0,0,0,0,0,0,2016,Jul,Sep
CORONA HEALTH SANCTUARY,QUEENS       ,0.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
MOHEGAN TRIANGLE,BRONX        ,0.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND OF THE AMERICAS,MANHATTAN    ,0.08,0,0,0,0,0,0,0,0,2016,Jul,Sep
PRIVATE WILLIAM GRAY PARK,QUEENS       ,0.07,0,0,0,0,0,0,0,0,2016,Jul,Sep
ADRIENNE'S PLAYGROUND,MANHATTAN    ,0,0,0,0,0,0,0,0,0,2016,Jul,Sep
VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,0,0,0,1,0,1,2016,Oct,Dec
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56,0,0,0,0,0,0,0,0,2016,Oct,Dec
FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0,2016,Oct,Dec
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,1,1,0,9,1,12,2016,Oct,Dec
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,0,0,0,0,2016,Oct,Dec
MARINE PARK,BROOKLYN     ,798,0,0,0,0,0,0,0,0,2016,Oct,Dec
BELT PARKWAY/SHORE PARKWAY,BROOKLYN     ,760.43,0,0,0,0,0,0,0,0,2016,Oct,Dec
BRONX PARK,BRONX        ,718.37,0,0,1,0,0,0,0,1,2016,Oct,Dec
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,0,0,0,2016,Oct,Dec
ALLEY POND PARK,QUEENS       ,635.51,0,0,0,0,0,2,0,2,2016,Oct,Dec
PROSPECT PARK,BROOKLYN     ,526.25,0,0,2,0,1,6,0,9,2016,Oct,Dec
FOREST PARK,QUEENS       ,506.86,0,0,1,0,0,0,0,1,2016,Oct,Dec
GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0,2016,Oct,Dec
FERRY POINT PARK,BRONX        ,413.8,0,0,0,0,0,0,0,0,2016,Oct,Dec
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.2,0,0,3,0,1,1,0,5,2016,Oct,Dec
CUNNINGHAM PARK,QUEENS       ,358,0,0,1,0,0,0,0,1,2016,Oct,Dec
RICHMOND PARKWAY,STATEN ISLAND,350.98,0,0,0,0,0,0,0,0,2016,Oct,Dec
CROSS ISLAND PARKWAY,QUEENS       ,326.9,0,0,0,0,0,0,0,0,2016,Oct,Dec
GREAT KILLS PARK,STATEN ISLAND,315.09,0,0,0,0,0,0,0,0,2016,Oct,Dec
WOLFE'S POND PARK,STATEN ISLAND,302.69,0,0,0,0,0,0,0,0,2016,Oct,Dec
CONFERENCE HOUSE PARK,STATEN ISLAND,286.38,0,0,0,0,0,0,0,0,2016,Oct,Dec
RANDALL'S ISLAND PARK,MANHATTAN    ,256.11,0,0,0,1,0,3,0,4,2016,Oct,Dec
ROCKAWAY COMMUNITY PARK,QUEENS       ,255.4,0,0,0,0,0,0,0,0,2016,Oct,Dec
KISSENA PARK,QUEENS       ,237.15,0,0,0,0,0,0,0,0,2016,Oct,Dec
RIVERSIDE PARK,MANHATTAN    ,235.77,0,0,1,1,0,4,0,6,2016,Oct,Dec
HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0,2016,Oct,Dec
BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0,2016,Oct,Dec
DYKER BEACH PARK,BROOKLYN     ,216.66,0,1,0,0,0,2,0,3,2016,Oct,Dec
WILLOWBROOK PARK,STATEN ISLAND,214.95,0,0,0,0,0,0,0,0,2016,Oct,Dec
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.93,0,0,0,0,0,0,0,0,2016,Oct,Dec
SILVER LAKE PARK,STATEN ISLAND,205.98,0,0,0,0,0,0,0,0,2016,Oct,Dec
BRONX RIVER PARKWAY,BRONX        ,205.65,0,1,0,0,0,0,0,1,2016,Oct,Dec
SOUNDVIEW PARK,BRONX        ,205.31,0,0,0,1,0,0,0,1,2016,Oct,Dec
BELT PARKWAY,QUEENS       ,202.65,0,0,0,0,0,0,0,0,2016,Oct,Dec
WILLOWBROOK PARKWAY,STATEN ISLAND,198.48,0,0,0,0,0,0,0,0,2016,Oct,Dec
INWOOD HILL PARK,MANHATTAN    ,196.4,0,0,1,0,0,0,0,1,2016,Oct,Dec
CLOVE LAKES PARK,STATEN ISLAND,193.42,0,0,2,0,0,0,0,2,2016,Oct,Dec
FORT WASHINGTON PARK,MANHATTAN    ,184.14,0,0,1,0,0,0,0,1,2016,Oct,Dec
IDLEWILD PARK,QUEENS       ,180.85,0,0,0,0,0,0,0,0,2016,Oct,Dec
WARDS ISLAND PARK,MANHATTAN    ,176.58,0,0,0,0,0,0,0,0,2016,Oct,Dec
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.99,0,0,0,0,0,0,0,0,2016,Oct,Dec
SAW MILL CREEK MARSH,STATEN ISLAND,171.78,0,0,0,0,0,0,0,0,2016,Oct,Dec
BLOOD ROOT VALLEY,STATEN ISLAND,161.24,0,0,0,0,0,0,0,0,2016,Oct,Dec
JAMAICA BAY PARK,QUEENS       ,149.54,0,0,0,0,0,0,0,0,2016,Oct,Dec
KISSENA CORRIDOR PARK,QUEENS       ,146.81,0,0,1,0,0,0,0,1,2016,Oct,Dec
HIGHLAND PARK,BROOKLYN,146.34,0,0,1,1,0,0,0,2,2016,Oct,Dec
ARDEN WOODS,STATEN ISLAND,145.86,0,0,0,0,0,0,0,0,2016,Oct,Dec
RIVERDALE PARK,BRONX        ,144.29,0,0,0,0,0,0,0,0,2016,Oct,Dec
OCEAN PARKWAY MALLS,BROOKLYN     ,140,0,0,0,0,0,0,0,0,2016,Oct,Dec
BLOOMINGDALE PARK,STATEN ISLAND,138.1,0,0,0,0,0,0,0,0,2016,Oct,Dec
OCEAN BREEZE PARK,STATEN ISLAND,136.57,0,0,0,0,1,0,0,1,2016,Oct,Dec
CANARSIE PARK,BROOKLYN     ,132.2,0,0,0,0,0,0,0,0,2016,Oct,Dec
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.1,1,0,4,1,1,0,0,7,2016,Oct,Dec
CROTONA PARK,BRONX        ,127.5,0,0,3,1,0,1,0,5,2016,Oct,Dec
PAERDEGAT BASIN PARK,BROOKLYN     ,118.8,0,0,0,0,0,0,0,0,2016,Oct,Dec
HOOK CREEK PARK,QUEENS       ,111.16,0,0,0,0,0,0,0,0,2016,Oct,Dec
CRESCENT BEACH PARK,STATEN ISLAND,110.96,0,0,0,0,0,0,0,0,2016,Oct,Dec
CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93,0,0,0,0,0,0,0,0,2016,Oct,Dec
BAISLEY POND PARK,QUEENS       ,109.61,0,0,0,0,0,0,0,0,2016,Oct,Dec
PELHAM PARKWAY,BRONX        ,108.91,0,0,0,0,0,0,0,0,2016,Oct,Dec
PRALLS ISLAND,STATEN ISLAND,107.51,0,0,0,0,0,0,0,0,2016,Oct,Dec
MARINERS MARSH PARK,STATEN ISLAND,107.2,0,0,0,0,0,0,0,0,2016,Oct,Dec
DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.6,0,0,0,0,0,0,0,0,2016,Oct,Dec
LEMON CREEK PARK,STATEN ISLAND,104.55,0,0,0,0,0,0,0,0,2016,Oct,Dec
SPRING CREEK PARK,BROOKLYN,99.57,0,0,0,0,0,0,0,0,2016,Oct,Dec
HIGH ROCK PARK,STATEN ISLAND,94.1,0,0,0,0,0,0,0,0,2016,Oct,Dec
LONG POND PARK,STATEN ISLAND,91.95,0,0,0,0,0,0,0,0,2016,Oct,Dec
BROOKVILLE PARK,QUEENS       ,89.95,0,0,0,0,0,0,0,0,2016,Oct,Dec
ISLE OF MEADOWS,STATEN ISLAND,87.52,0,0,0,0,0,0,0,0,2016,Oct,Dec
CALVERT VAUX PARK,BROOKLYN     ,85.53,0,0,1,0,0,1,0,2,2016,Oct,Dec
PUGSLEY CREEK PARK,BRONX        ,83.62,0,0,0,0,0,0,0,0,2016,Oct,Dec
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.3,0,0,0,0,0,0,0,0,2016,Oct,Dec
MOSHOLU PARKWAY,BRONX        ,80.94,0,0,1,0,0,0,0,1,2016,Oct,Dec
MCGUIRE FIELDS,BROOKLYN     ,77.18,0,0,0,0,0,0,0,0,2016,Oct,Dec
FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.04,0,0,0,0,0,0,0,0,2016,Oct,Dec
JACKIE ROBINSON PARKWAY,BROOKLYN,72.75,0,0,0,0,0,0,0,0,2016,Oct,Dec
FORT TRYON PARK,MANHATTAN    ,67.21,0,0,1,0,0,0,0,1,2016,Oct,Dec
RIVERSIDE PARK SOUTH,MANHATTAN    ,66.69,0,0,0,0,0,0,0,0,2016,Oct,Dec
EASTERN PARKWAY,BROOKLYN     ,65.7,0,0,0,0,0,0,0,0,2016,Oct,Dec
